acceleratie	acceleration
antibiotika	antibiotikum
anténa	antenne
arveanlæg	genpulje
begasning	gasning
begærlig	dychtivý
beijing	peking
beklædning	kjole
beklædning	påklædning
bistade	bikube
borg	herregård
brand	ild
catalan	catalansk
cfc	chlorofluorocarbon
dysleksi	ordblindhed
emne	tema
fejlslagen	mislykket
felidae	kattedyrene
felidae	kattefamilien
fjernsyn	tv
fløjte	fløjte
forfatning	grundlov
forholdsord	præposition
fraktur	brud
fuld	fyldt
godthåb	nuuk
grundstoffer	grundstof
gøre	udføre
han	tyr
hebraisk	hebraisk
hegemoni	herredømme
herkules	herakles
hviderusland	belarus
hydrogen	brint
jod	iod
kamera	fotografiapparat
kattefamilien	kattedyrene
kjole	påklædning
kno	ankel
kostbar	værdifuld
kromosom	kromosomo
krydsordsopgave	kryds-og-tværsopgave
kvæg	kvægbestand
latinsk	latin
lavandel	lavendel
libèria	liberia
lingvistik	sprogvidenskab
love	lov
lære	undervise
miljøfølge	miljøindvirkning
miljøredegørelse	miljørevision
mislykket	mislykket
overrumplet	forbløffet
pelargonie	geranium
ressourcer	ressource
sanskrit	sanskrit
skaberevne	kreativitet
slot	borg
slot	herregård
sociolingvistik	sprogsociologi
sprogforskning	lingvistik
sprogforskning	sprogvidenskab
støj	vibrationer
sum	sammentælling
titan	titanium
tjekkisk	tjekkisk
tommelfinger	tommeltot
topologi	topologie
ursidae	bjørne
užitečný	nyttig
volapük	volapyk
