abajo	debajo
abandonar	dejar
abecé	abecedario
abiótico	entorno
abogada	letrada
abogada	letrado
abogado	abogada
abogado	letrada
abogado	letrado
abonar	pagar
aborrecer	rechazar
abreviatura	abreviación
absoluto	completo
absoluto	perfecto
absoluto	total
absorción	absorpción
abstruso	intenso
acabar	cesar
acabar	concluir
acabar	parar
acabar	terminar
acarrear	llevar
acarrear	traer
acarrear	transportar
acción	actividad
acción	acto
acción	actuación
acción	hecho
acción	título
aceptación	adhesión
aceptación	consenso
aceptación	consentimiento
aceptar	alojar
aceptar	querer
acertado	correcto
aconsejar	apuntar
aconsejar	inspirar
acoplar	asociar
acoplar	empalmar
acoplar	encadenar
acoplar	relacionar
acoplar	reunir
acoplar	unir
acosar	realzar
actitud	disposición
actitud	postura
acto	hecho
actor	cómico
actor	farandulero
actor	intérprete
actos	acto
actual	ofrenda
actual	presente
actualidad	presente
actuar	afanar
actuar	elaborar
actuar	hacer
actuar	representar
actínidos	actínido
acueductos	acueducto
acuerdo	acuerdos
acuerdo	contrato
acuerdo	pacto
acumulador	batería
acusado	acusada
adaptar	ajustar
adaptar	regular
adecuar	ajustar
adhesivo	aleurona
adhesivo	pegamento
adhesión	consenso
adhesión	consentimiento
adición	suma
administración	dirección
administración	gerencia
administración	gestión
administrar	conducir
administrar	dirigir
administrar	ingeniarse
administrar	regentar
admirar	calcular
admirar	considerar
admitir	reconocer
adorno	decoración
adquirir	comprar
adquirir	conseguir
adquirir	lograr
adquirir	obtener
adulto	adulta
adultos	adulta
adultos	adulto
adverbo	adverbio
adversario	rival
advertencia	consejo
aeropuerto	aeródromo
aeropuertos	aeropuerto
aerosoles	aerosol
afanar	quitar
afección	enfermedad
afectar	conmover
afilado	cortante
afirmación	argumentación
afirmación	aserto
afirmación	aseveración
afirmación	declaración
afirmar	aseverar
africa	África
afrikaans	afrikáans
afán	agotamiento
afán	dedicación
afán	esfuerzo
agente	guardia
agente	oficial
agente	policía
agradable	bonito
agradable	simpático
agradar	complacer
agradar	encantar
agregar	añadir
agresivo	agresiva
agresor	asaltante
agresor	atacante
agresora	agresor
agresora	asaltante
agresora	atacante
agricultura	agr
agroquímicos	agroquímico
agrosilvicultura	agroforestería
agrupación	colectivo
agrupación	grupo
aguantar	sostener
aguantar	sujetar
aguardar	contar
aguardar	esperar
agudo	afilado
agudo	cortante
agujero	cavidad
agujero	hueco
ahuecado	abstruso
ahuecado	grave
ahuecado	hondo
ahuecado	intenso
aire	brisa
aire	viento
ajustar	regular
alarma	advertencia
albaricoque	damasco
alberca	pileta
alcalde	alcaldesa
alcalde	burgomaestre
alcaldesa	burgomaestre
alcalinos	alcalino
alcance	esfera
alcance	marco
alcance	ámbito
alcano	parafinas
alcanos	alcano
alcanos	parafinas
alcanzar	ganar
alcanzar	lograr
alcoba	cuarto
alcoba	dependencia
alcoba	dormitorio
alcoba	habitación
alcoba	pieza
aldea	pueblo
alemán	alemana
alergias	alérgeno
alfabeto	abecedario
alfabeto	abecé
alfombra	moqueta
alfombra	tapete
alfombra	tapiz
algas	alga
algicidas	algicida
aliento	anhelo
aliento	respiración
aliento	soplo
aliento	ánimo
alimentación	nutrición
alimento	alimentos
alimento	comida
almacén	tienda
almuerzo	comida
almuerzo	desayuno
alteración	cambio
alteración	modificación
alteración	variación
alterar	cambiar
alternativa	elección
alternativa	opción
altitud	altura
altitud	elevación
alto	alta
altura	elevación
alubia	caraota
alubia	faba
alubia	frijól
alubia	habichuela
alubia	pocha
alubia	poroto
alud	avalancha
alud	desprendimiento
aludes	alud
aludes	avalancha
aludes	desprendimiento
aludir	citar
aludir	mencionar
aludir	mentar
aludir	nombrar
alumno	estudiante
aluviones	aluvión
aluviones	inundación
aluvión	inundación
alzar	acosar
alzar	elevar
alzar	levantar
alzar	realzar
alzar	subir
amable	gentil
amable	simpático
amar	querer
amarillo	amarilla
amenazar	luchar
amianto	asbesto
aminoácidos	aminoácido
amistoso	amigable
amo	dueña
amo	dueño
amo	propietario
amoniaco	amoníaco
amor	cariño
amor	cielo
amor	corazón
amor	dulzura
amor	pasión
amor	querida
amor	sol
amplio	ancho
amsterdam	Ámsterdam
analfabeto	iletrado
andar	caminar
angiospermas	angiosperma
animal	bestia
animal	criatura
animale	animal
animar	estimular
anochecer	atardecer
anochecer	noche
antiguo	anterior
antimonia	antimonio
antropólogo	antropóloga
antártida	antártica
anunciar	proclamar
anuncio	cartel
anuncio	letrero
anuncio	proclamación
aparcamientos	aparcamiento
aparcamientos	estacionamiento
apariencia	aspecto
apariencia	estampa
apariencia	expresión
apartado	sección
apartamento	departamento
apartamento	piso
apatia	abandono
apatia	apatía
apatia	desidia
apatía	abandono
apegada	encariñada
apegada	encariñado
apegado	apegada
apegado	encariñada
apegado	encariñado
apego	cariño
aplastar	machacar
apoyar	respaldar
apoyo	ayuda
apreciación	concepto
apreciación	conjetura
apreciación	dictamen
apreciación	informe
apreciación	opinión
apreciación	parecer
apreciación	visión
apreciar	aprehender
apreciar	asimilar
apreciar	coger
apreciar	comprender
aprehender	asimilar
aprehender	coger
aprehender	comprender
aprensión	susto
apresuradamente	aprisa
apresuradamente	ejecutivamente
apresuradamente	ligero
apresuradamente	prestamente
apresuradamente	presto
apresuradamente	presurosamente
apresuradamente	prontamente
apresuradamente	raudamente
apresuradamente	velozmente
apretar	empujar
apretar	presionar
