tакже	тоже
Англия	Великобритания
автомобиль	машина
арифмометр	счётчик
аэродром	аэропорт
безобразный	некрасивый
беседа	диалог
близкий	недалёкий
блюдо	еда
блюдо	питание
более	болше
большой	великий
бросать	кидать
в	до
веселье	забава
веселье	развлечение
веселье	увеселение
вестибюль	передняя
весь	целый
взгорье	холм
взять	брать
вид	взгляд
владелец	обладатель
внутрь	в
внутрь	до
возражать	протестовать
волна	шерсть
волос	ворс
ворота	калитка
воротник	туфля
врач	доктор
все	бсё
всеобщий	общий
встреча	свидание
выиграть	победить
глотка	горло
глотка	зев
гостиница	отель
готовый	приготовленный
граница	лимит
данный	установленный
дата	число
дверь	створка
девочка	поклонница
девушка	девочка
действительно	серьезно
деликатный	щекотливый
дело	работа
дело	труда
демократия	республика
диспут	беседа
диспут	прения
договор	контракт
договор	урегулирование
дорога	путь
дорогой	дорогая
жалкий	жалобный
жилище	дом
жёсткий	негнущийся
забава	увеселение
забыть	забывать
завод	фабрика
заказчик	клиент
заключение	решение
закончить	докончить
замок	кремль
занятие	торговля
заработок	плата
звонок	зов
звонок	оклик
здесь	тут
зев	горло
земля	почва
зерно	семя
зов	оклик
золотой	золотистий
иголка	игла
измышление	вымысел
изобретение	вымысел
изобретение	измышление
инструмент	орудие
искривление	изгиб
искривление	кривизна
исходный	оригинальный
итог	сумма
кино	кинотеатр
книзу	вниз
козёл	коза
количество	число
комитет	комиссия
коммерция	бизнес
конкуренция	соревнование
контора	канцелярия
контракт	урегулирование
конфигурация	форма
кот	кошка
красивый	хороший
красть	воровать
кривая	дуга
кривизна	изгиб
крик	возглас
кровать	постель
кромка	край
кругом	вокруг
крупный	большой
куртка	пиджак
лавка	магазин
летание	полёт
лицо	человек
лоб	чело
лошадь	конь
люди	народ
мальчик	парень
матрос	моряк
медсестра	няня
метод	стиль
мнение	суждение
модель	макет
момент	мгновение
момент	миг
мужчина	человек
мускул	мышца
надпись	заголовок
налогообложение	налог
намерение	цель
народ	нация
наружность	внешность
настил	пол
национальный	народный
немного	мало
необыкновенный	необычный
низкий	невысокий
никакой	никто
ничто	ничего
номер	выпуск
нравиться	любить
нуль	ничего
нуль	ничто
область	район
огонь	пламя
огонь	пожар
одежда	платье
одобрение	согласие
оклад	заработок
оклад	плата
окрашенность	цвет
определить	узнать
основа	база
основание	мотив
отвечать	ответить
офис	канцелярия
офис	контора
ощущать	чуствовать
падать	упасть
пальто	пиджак
папа	отец
парк	сад
пауза	перерыв
пациент	больной
перевозка	транспорт
перерыв	пауза
плата	платёж
плата	уплата
платёж	уплата
повар	кухарка
поддержка	опора
подробность	деталь
пожелать	хотеть
позиция	положение
покупатель	заказчик
покупатель	клиент
полезный	пригодный
помидор	томат
помощь	содействие
послать	отправить
после	потом
поступок	действие
потом	после
почва	земля
правило	предписание
правильный	верный
правописание	орфография
предмет	вещь
прения	беседа
прибыль	нажива
приказ	команда
припустить	признать
прихожая	вестибюль
прихожая	передняя
проводить	практиковать
провозглашение	объявление
продажа	сбыт
промышленный	индустриальный
пропаганда	объявление
пропаганда	реклама
пропадание	урон
просто	только
простуда	насморк
профессия	работа
процесс	процедура
прыгать	скакать
равный	одинаковый
развлечение	забава
развлечение	увеселение
разговор	беседа
разговор	диалог
разнообразие	пестрота
разнообразность	пестрота
разнообразность	разнообразие
разоблачить	открыть
разумный	интеллигентный
ранг	класс
ранний	скорый
расценка	тариф
реклама	объявление
розоватый	розовый
руководство	предводительство
рынок	базар
сандвич	бутерброд
сведениe	информация
свет	мир
секрет	тайна
секретарь	секретарша
секция	отделение
секция	участок
сжать	нажать
сзади	позади
скачок	прыжок
сладкое	пирожное
собственник	владелец
собственник	обладатель
современный	настойащий
соглашение	договор
соглашение	контракт
соглашение	урегулирование
сомнение	неуверенность
соревнование	состязание
способ	метод
способ	стиль
стихотворение	поэма
стоимость	цена
страна	государство
студент	ученик
судно	корабль
сумка	сумочка
супермаркет	универсам
сюжет	тема
твёрдый	жёсткий
телесный	физический
теперь	сейчас
течение	поток
труда	работа
тюрьма	заточение
уборная	туалет
уклониться	избежать
ум	мысль
университет	вуз
управление	менеджмент
уста	рот
утрата	пропадание
утрата	урон
участок	область
участок	район
фактура	счёт
фильм	кинокартина
фиолетовый	тёмно-лиловый
хозяйство	экономика
холостой	незамужняя
хороший	хорошая
хороший	хорошо
церковь	храм
черта	линия
шаг	поступь
шея	горло
шум	гам
шёлк	шелк
эволюция	развитие
юноша	паренёк
яд	отрава
ячейка	клетка
